operation_id,created_at,amount,bank,provider,status,latency_sec,skip_reason
op_001,2026-07-29T12:00:00Z,15000,sber,vipay,approved,22,
op_002,2026-07-29T12:05:00Z,4200,tbank,payflow,approved,17,
op_003,2026-07-29T12:10:00Z,125000,alfa,quickpay,approved,29,
op_004,2026-07-29T12:15:00Z,30000,vtb,vipay,approved,24,
op_005,2026-07-29T12:20:00Z,18000,sber,payflow,approved,19,
op_006,2026-07-29T12:25:00Z,80000,raiffeisen,vipay,approved,25,
op_007,2026-07-29T12:30:00Z,5000,gazprombank,payflow,rejected,35,provider_temporary_decline
op_008,2026-07-29T12:35:00Z,160000,sber,quickpay,approved,27,
op_009,2026-07-29T12:40:00Z,22000,tbank,vipay,approved,21,
op_010,2026-07-29T12:45:00Z,3500,alfa,payflow,approved,16,
op_011,2026-07-29T12:50:00Z,95000,vtb,vipay,approved,26,
op_012,2026-07-29T12:55:00Z,210000,sber,quickpay,approved,28,
op_013,2026-07-29T13:00:00Z,12000,raiffeisen,vipay,approved,23,
op_014,2026-07-29T13:05:00Z,45000,sber,payflow,approved,18,
op_015,2026-07-29T13:10:00Z,55000,tbank,vipay,approved,24,
op_016,2026-07-29T13:15:00Z,14000,vtb,payflow,approved,17,
op_017,2026-07-29T13:20:00Z,175000,alfa,quickpay,approved,30,
op_018,2026-07-29T13:25:00Z,28000,sber,vipay,approved,22,
op_019,2026-07-29T13:30:00Z,9000,gazprombank,payflow,approved,19,
op_020,2026-07-29T13:35:00Z,65000,tbank,vipay,approved,25,
op_021,2026-07-29T13:40:00Z,2500,sber,payflow,approved,15,
op_022,2026-07-29T13:45:00Z,190000,vtb,quickpay,approved,31,
op_023,2026-07-29T13:50:00Z,34000,raiffeisen,vipay,approved,23,
op_024,2026-07-29T13:55:00Z,11000,alfa,payflow,approved,18,
op_025,2026-07-29T14:00:00Z,48000,sber,vipay,approved,24,
op_026,2026-07-29T14:05:00Z,7000,tbank,payflow,approved,16,
op_027,2026-07-29T14:10:00Z,130000,vtb,quickpay,approved,27,
op_028,2026-07-29T14:15:00Z,85000,sber,vipay,rejected,42,bank_maintenance
op_029,2026-07-29T14:20:00Z,21000,alfa,payflow,approved,17,
op_030,2026-07-29T14:25:00Z,40000,raiffeisen,vipay,approved,23,
op_031,2026-07-29T14:30:00Z,16000,sber,payflow,approved,18,
op_032,2026-07-29T14:35:00Z,240000,tbank,quickpay,approved,29,
op_033,2026-07-29T14:40:00Z,52000,vtb,vipay,approved,25,
op_034,2026-07-29T14:45:00Z,3800,gazprombank,payflow,approved,19,
op_035,2026-07-29T14:50:00Z,72000,sber,vipay,approved,24,
op_036,2026-07-29T14:55:00Z,29000,tbank,payflow,approved,17,
op_037,2026-07-29T15:00:00Z,115000,alfa,quickpay,approved,28,
op_038,2026-07-29T15:05:00Z,19000,raiffeisen,vipay,approved,22,
op_039,2026-07-29T15:10:00Z,47000,sber,payflow,rejected,40,daily_limit_reached
op_040,2026-07-29T15:15:00Z,63000,vtb,vipay,approved,25,
op_041,2026-07-29T15:20:00Z,8500,tbank,payflow,approved,16,
op_042,2026-07-29T15:25:00Z,185000,sber,quickpay,approved,30,
op_043,2026-07-29T15:30:00Z,31000,alfa,vipay,approved,23,
op_044,2026-07-29T15:35:00Z,12000,vtb,payflow,approved,18,
